epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,3531.4,1.90918,1.47964,2.24343,0.63158,0.58222,0.57438,0.18892,2.3511,1.7485,2.92478,0.00179982,0.00179982,0.00179982
105,3565.23,1.82259,1.48533,2.18203,0.60319,0.51415,0.53996,0.17323,2.36235,1.76037,2.89325,0.00179605,0.00179605,0.00179605
106,3599.02,1.82451,1.40175,2.15911,0.66352,0.54879,0.59125,0.2002,2.29264,1.74387,2.84701,0.00179225,0.00179225,0.00179225
107,3632.95,1.84147,1.43454,2.19856,0.59627,0.56604,0.57804,0.19077,2.34668,1.76485,2.93272,0.00178843,0.00178843,0.00178843
108,3666.89,1.8509,1.41263,2.15278,0.66271,0.56534,0.57386,0.20102,2.31982,1.74566,2.90599,0.00178457,0.00178457,0.00178457
109,3700.8,1.8619,1.51261,2.22004,0.6447,0.49057,0.54443,0.18964,2.34599,1.81756,2.91043,0.00178068,0.00178068,0.00178068
110,3734.71,1.83699,1.46257,2.16012,0.62236,0.54416,0.57282,0.17894,2.3926,1.77294,2.94638,0.00177676,0.00177676,0.00177676
111,3768.62,1.84971,1.41258,2.20059,0.668,0.55189,0.55525,0.18496,2.38912,1.82261,3.01693,0.00177281,0.00177281,0.00177281
112,3802.54,1.8604,1.4447,2.22659,0.6036,0.54245,0.54035,0.17187,2.32352,1.77336,2.90797,0.00176883,0.00176883,0.00176883
113,3836.42,1.89319,1.47978,2.23336,0.73566,0.57075,0.5759,0.18612,2.28004,1.81228,2.84933,0.00176482,0.00176482,0.00176482
114,3870.31,1.88317,1.44328,2.25698,0.68203,0.60377,0.6184,0.20004,2.34513,1.70752,2.89567,0.00176078,0.00176078,0.00176078
115,3904.24,1.88359,1.4505,2.17695,0.71373,0.541,0.57231,0.19486,2.32431,1.67249,2.85443,0.00175671,0.00175671,0.00175671
116,3938.19,1.81428,1.4596,2.16495,0.5479,0.47642,0.44946,0.14634,2.41375,1.97552,2.93732,0.00175261,0.00175261,0.00175261
117,3972.08,1.76871,1.37285,2.11085,0.6411,0.50472,0.52578,0.19323,2.33471,1.72312,2.92671,0.00174848,0.00174848,0.00174848
118,4006,1.85094,1.40714,2.20191,0.6017,0.50943,0.50378,0.16481,2.39347,1.81965,2.98473,0.00174432,0.00174432,0.00174432
119,4039.95,1.81599,1.42686,2.19132,0.63474,0.50472,0.53259,0.17917,2.37236,1.81491,2.94359,0.00174014,0.00174014,0.00174014
120,4073.84,1.84098,1.41179,2.20562,0.61153,0.5283,0.55841,0.19262,2.36482,1.78904,2.94001,0.00173592,0.00173592,0.00173592
121,4107.73,1.79605,1.39891,2.14925,0.6542,0.53542,0.56861,0.19142,2.37311,1.79642,2.94848,0.00173168,0.00173168,0.00173168
122,4141.62,1.8183,1.39381,2.17756,0.62761,0.56132,0.56999,0.18043,2.39553,1.73369,2.98798,0.00172741,0.00172741,0.00172741
123,4175.6,1.78007,1.38425,2.18578,0.63561,0.49369,0.55164,0.18205,2.39235,1.80831,2.99045,0.00172311,0.00172311,0.00172311
124,4209.48,1.7841,1.32546,2.11229,0.6453,0.57497,0.57938,0.195,2.35292,1.76488,2.9523,0.00171878,0.00171878,0.00171878
125,4243.36,1.70289,1.34536,2.08997,0.54905,0.52358,0.55224,0.19361,2.37552,1.81289,2.9781,0.00171442,0.00171442,0.00171442
126,4277.27,1.78027,1.35204,2.14097,0.63497,0.5566,0.5746,0.18267,2.37189,1.68579,3.0741,0.00171004,0.00171004,0.00171004
127,4311.12,1.79077,1.24513,2.16022,0.62712,0.58962,0.56552,0.19119,2.35219,1.63039,3.0124,0.00170562,0.00170562,0.00170562
128,4345.02,1.78122,1.3367,2.12015,0.6265,0.51428,0.51315,0.16934,2.43458,1.83995,3.07814,0.00170118,0.00170118,0.00170118
129,4378.87,1.77155,1.34458,2.14963,0.67604,0.55189,0.57512,0.18765,2.36012,1.76547,2.93525,0.00169672,0.00169672,0.00169672
130,4412.77,1.75578,1.31155,2.13543,0.67437,0.5283,0.56119,0.18594,2.32122,1.58907,2.93668,0.00169222,0.00169222,0.00169222
131,4446.66,1.7094,1.23948,2.06024,0.65546,0.59226,0.5616,0.18131,2.40357,1.71634,3.01217,0.0016877,0.0016877,0.0016877
132,4480.53,1.76472,1.31099,2.1463,0.60339,0.57547,0.53559,0.17073,2.47574,1.68597,3.15524,0.00168315,0.00168315,0.00168315
133,4514.39,1.82579,1.3965,2.16059,0.59241,0.54717,0.55963,0.18405,2.3812,1.77188,3.00628,0.00167858,0.00167858,0.00167858
134,4548.28,1.66959,1.30529,2.0616,0.64396,0.55189,0.55934,0.19772,2.34505,1.72088,2.96976,0.00167398,0.00167398,0.00167398
135,4582.17,1.71215,1.24415,2.09717,0.67372,0.50943,0.56686,0.19988,2.42423,1.81689,3.0469,0.00166935,0.00166935,0.00166935
136,4616.06,1.71201,1.26086,2.05703,0.59427,0.53302,0.55466,0.19189,2.36746,1.61105,3.02552,0.0016647,0.0016647,0.0016647
