epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,15959.1,1.09549,0.67756,1.18521,0.85899,0.77357,0.82398,0.50531,1.65573,0.73567,1.71026,0.00836989,0.00836989,0.00836989
135,16063.7,1.08112,0.67939,1.17149,0.89101,0.77857,0.83272,0.48862,1.70368,0.77556,1.76218,0.00834676,0.00834676,0.00834676
136,16174.7,1.08637,0.66641,1.17756,0.86967,0.76587,0.81577,0.48618,1.67565,0.75881,1.75305,0.00832349,0.00832349,0.00832349
137,16289.4,1.09769,0.6676,1.164,0.87059,0.77417,0.8201,0.48483,1.6707,0.73926,1.7479,0.0083001,0.0083001,0.0083001
138,16389.7,1.09869,0.69441,1.18379,0.84148,0.79365,0.82643,0.48746,1.64226,0.7281,1.73396,0.00827658,0.00827658,0.00827658
139,16515.1,1.08927,0.66977,1.15829,0.84505,0.79365,0.82539,0.49597,1.64318,0.72629,1.73342,0.00825293,0.00825293,0.00825293
140,16612.2,1.07394,0.67721,1.16632,0.87596,0.75794,0.83296,0.49514,1.66141,0.73904,1.74435,0.00822915,0.00822915,0.00822915
141,16740.3,1.07178,0.66859,1.16375,0.85686,0.76014,0.82196,0.49379,1.69224,0.74718,1.74841,0.00820525,0.00820525,0.00820525
142,16838.7,1.07631,0.65505,1.16328,0.88287,0.78175,0.84124,0.50087,1.66484,0.75129,1.72875,0.00818122,0.00818122,0.00818122
143,16966.3,1.07366,0.65712,1.16202,0.85564,0.79762,0.84102,0.50067,1.64452,0.75651,1.72656,0.00815707,0.00815707,0.00815707
144,17087.1,1.04248,0.649,1.14445,0.87143,0.77778,0.83983,0.51303,1.60537,0.72799,1.68486,0.0081328,0.0081328,0.0081328
145,17209.6,1.05161,0.64428,1.1538,0.87231,0.79762,0.84832,0.51731,1.59358,0.76556,1.69276,0.00810841,0.00810841,0.00810841
146,17340.2,1.06487,0.65222,1.14325,0.86862,0.80159,0.84295,0.50641,1.62114,0.74356,1.68363,0.00808389,0.00808389,0.00808389
147,17455.6,1.03434,0.63137,1.13346,0.87062,0.78968,0.83781,0.49992,1.64945,0.73869,1.70066,0.00805925,0.00805925,0.00805925
148,17592.3,1.07431,0.66132,1.16014,0.87113,0.78968,0.84305,0.49533,1.66232,0.7271,1.71372,0.0080345,0.0080345,0.0080345
149,17698.6,1.03274,0.64741,1.1422,0.86714,0.82143,0.85097,0.50253,1.65037,0.72335,1.7222,0.00800963,0.00800963,0.00800963
150,17843.5,1.01953,0.6408,1.13023,0.86591,0.81349,0.85939,0.5054,1.6505,0.74746,1.71687,0.00798464,0.00798464,0.00798464
151,17948.3,1.05277,0.65175,1.14624,0.84862,0.80556,0.85086,0.50284,1.65379,0.73568,1.72943,0.00795954,0.00795954,0.00795954
152,18088.4,1.03742,0.63958,1.13837,0.86266,0.75794,0.82284,0.49666,1.64593,0.74363,1.7246,0.00793432,0.00793432,0.00793432
153,18199.9,1.04563,0.64188,1.14891,0.88939,0.78571,0.84654,0.51144,1.64453,0.73959,1.72134,0.00790898,0.00790898,0.00790898
154,18333.8,1.03296,0.6269,1.13719,0.86486,0.8127,0.84832,0.50743,1.66477,0.74677,1.73532,0.00788354,0.00788354,0.00788354
155,18450.9,1.03006,0.63092,1.14015,0.86094,0.80556,0.84568,0.49884,1.66708,0.76674,1.72169,0.00785798,0.00785798,0.00785798
156,18576.8,1.01825,0.62729,1.13033,0.89117,0.80556,0.83716,0.50006,1.64839,0.75497,1.72573,0.00783231,0.00783231,0.00783231
157,18701.6,1.0165,0.6268,1.12986,0.88272,0.81746,0.84888,0.49819,1.63735,0.76586,1.7294,0.00780653,0.00780653,0.00780653
158,18820.6,1.00898,0.61189,1.11358,0.86583,0.78571,0.83185,0.50394,1.65071,0.75629,1.74185,0.00778065,0.00778065,0.00778065
159,18954.8,1.00811,0.61373,1.11853,0.8668,0.78571,0.83571,0.50756,1.64468,0.75581,1.7477,0.00775465,0.00775465,0.00775465
160,19061.8,1.01968,0.62221,1.12005,0.88002,0.7859,0.84378,0.50523,1.65015,0.75954,1.74629,0.00772855,0.00772855,0.00772855
161,19186.9,1.02416,0.63172,1.12132,0.89237,0.78571,0.83768,0.50282,1.65457,0.76667,1.74822,0.00770234,0.00770234,0.00770234
162,19282.4,0.99502,0.60778,1.11111,0.87665,0.78175,0.83247,0.501,1.65947,0.76942,1.74386,0.00767603,0.00767603,0.00767603
163,19408.9,0.98823,0.59894,1.10823,0.87131,0.77778,0.82417,0.50328,1.65018,0.77094,1.74401,0.00764961,0.00764961,0.00764961
164,19507.4,0.99214,0.59477,1.09988,0.86628,0.79696,0.83545,0.50843,1.64314,0.75243,1.72054,0.0076231,0.0076231,0.0076231
165,19625.7,0.99371,0.59452,1.11404,0.86044,0.80739,0.83861,0.50936,1.6595,0.75051,1.7581,0.00759648,0.00759648,0.00759648
166,19735.3,1.00729,0.6212,1.12006,0.86302,0.80008,0.8344,0.50292,1.6343,0.76287,1.73266,0.00756976,0.00756976,0.00756976
167,19843.9,0.97627,0.59514,1.10501,0.84644,0.79762,0.83391,0.51241,1.61735,0.77395,1.73188,0.00754293,0.00754293,0.00754293
168,19961.4,0.97255,0.58836,1.09525,0.85982,0.77889,0.82368,0.51082,1.60741,0.78011,1.71029,0.00751602,0.00751602,0.00751602
169,20057.8,0.98419,0.59801,1.1023,0.89293,0.76117,0.8377,0.51686,1.59275,0.76441,1.68547,0.007489,0.007489,0.007489
170,20187,0.96673,0.58904,1.10021,0.88306,0.77914,0.82851,0.51105,1.63001,0.76815,1.71422,0.00746189,0.00746189,0.00746189
171,20282.2,0.99491,0.61283,1.11729,0.87381,0.78571,0.82775,0.50921,1.60677,0.73669,1.68919,0.00743468,0.00743468,0.00743468
172,20409.6,0.96933,0.59023,1.08802,0.87463,0.78571,0.82774,0.5128,1.60375,0.73836,1.69033,0.00740738,0.00740738,0.00740738
173,20509.2,0.97861,0.58795,1.09705,0.89572,0.78398,0.84857,0.52184,1.5667,0.71118,1.6595,0.00737998,0.00737998,0.00737998
174,20624.7,0.98681,0.60584,1.11283,0.88189,0.80556,0.85647,0.5259,1.56605,0.70173,1.65864,0.0073525,0.0073525,0.0073525
175,20735.9,0.9579,0.5807,1.09003,0.89495,0.78175,0.84883,0.52723,1.55166,0.70467,1.66085,0.00732492,0.00732492,0.00732492
176,20840.2,0.96822,0.58173,1.09721,0.89092,0.78571,0.83978,0.53025,1.56341,0.70666,1.67057,0.00729725,0.00729725,0.00729725
177,20961.6,0.97243,0.58655,1.09583,0.89256,0.79762,0.83752,0.5278,1.57483,0.72647,1.6591,0.0072695,0.0072695,0.0072695
178,21056.6,0.96294,0.58924,1.09094,0.88454,0.79044,0.83617,0.52548,1.59309,0.73469,1.67155,0.00724165,0.00724165,0.00724165
179,21185.8,0.9465,0.58461,1.08935,0.87256,0.77778,0.82588,0.51961,1.59402,0.72974,1.67252,0.00721372,0.00721372,0.00721372
180,21280.7,0.94929,0.60082,1.09228,0.88161,0.76587,0.82206,0.51701,1.58884,0.73636,1.67284,0.00718571,0.00718571,0.00718571
181,21403.8,0.94343,0.56601,1.08516,0.89112,0.77946,0.82307,0.5169,1.57605,0.72105,1.67351,0.00715761,0.00715761,0.00715761
